z,y,value
South_Africa,2025,1.0082671650552771e-06
South_Africa,2026,9.405157864515598e-07
South_Africa,2027,8.58242520190221e-07
South_Africa,2028,7.715132616828216e-07
South_Africa,2029,7.120451165570196e-07
South_Africa,2030,6.817709852268484e-07
South_Africa,2031,6.428440268266819e-07
South_Africa,2032,5.75666905317321e-07
South_Africa,2033,5.242040807920232e-07
South_Africa,2034,4.756282771923436e-07
South_Africa,2035,4.640150532128553e-07
Eswatini,2033,1.4089024934338937e-11
Eswatini,2034,1.2199255277389645e-11
Eswatini,2035,1.0906702045995144e-11
Mozambique,2025,3.0762630991056246e-08
Mozambique,2026,2.727157959225487e-08
Zimbabwe,2025,7.222584572025077e-07
Zimbabwe,2026,6.878436979003954e-07
Zimbabwe,2027,6.903755790671168e-07
Zimbabwe,2028,6.840367512706026e-07
Zimbabwe,2029,6.438453345416777e-07
Zimbabwe,2030,6.780103361194474e-07
Zimbabwe,2031,6.707178415023196e-07
Zimbabwe,2032,4.429093848368858e-07
Zimbabwe,2033,4.443222656467213e-07
Zimbabwe,2034,4.3079777710101985e-07
Zimbabwe,2035,4.361563415128483e-07
Botswana,2025,1.0834396676250708e-06
Botswana,2026,9.728529003994583e-07
Botswana,2027,8.063332338969287e-07
Botswana,2028,7.186416511955255e-07
Botswana,2029,5.582982089054264e-07
Botswana,2030,4.817396564531261e-07
Botswana,2031,4.232522921137782e-07
Botswana,2032,3.775224224067068e-07
Botswana,2033,3.402946708811617e-07
Botswana,2034,2.9350483018000935e-07
Botswana,2035,2.8405179751119107e-07
Namibia,2025,9.677017704549785e-08
Namibia,2027,5.735075560985405e-09
Namibia,2028,4.1440911322113523e-10
Namibia,2029,1.275414332464865e-10
Zambia,2025,1.0842741060401855e-07
Zambia,2026,1.0507571111149714e-07
Zambia,2027,1.3297329207372038e-07
Zambia,2028,1.8455125363740324e-07
Zambia,2029,1.695694466544817e-07
Zambia,2030,7.971716262981601e-08
Zambia,2031,7.310294360700392e-08
Zambia,2032,7.242638988549144e-08
Zambia,2033,7.176169362285275e-08
Zambia,2034,7.110935720845607e-08
Zambia,2035,6.766435471803131e-08
Angola,2027,3.055395871858225e-09
Angola,2028,1.4379685386011077e-08
Angola,2029,1.3478000633347572e-08
Angola,2030,1.2838263366887775e-10
Angola,2031,2.552290041766428e-10
Angola,2032,4.239990534295154e-11
Tanzania,2025,1.7598961388750805e-07
Tanzania,2026,1.9703648169677006e-07
Tanzania,2027,2.0754672168109794e-07
Tanzania,2028,2.2019110684350432e-07
Tanzania,2029,2.2579876096823735e-07
Tanzania,2030,2.025843930913672e-07
Tanzania,2031,1.9070080224355745e-07
Tanzania,2032,1.1403670278215318e-07
Tanzania,2033,1.2016931057934463e-07
Tanzania,2034,1.4233959686971845e-07
Tanzania,2035,1.2565295339949447e-07
DRC,2025,4.1530424505374934e-08
DRC,2026,5.676977787421099e-08
DRC,2027,7.813430285189032e-08
DRC,2028,9.176224470308791e-08
DRC,2029,1.0362604982709303e-07
DRC,2030,4.372142622968473e-08
DRC,2031,2.877328082144966e-08
DRC,2032,5.652896619200908e-08
DRC,2034,5.116910226516279e-11
DRC,2035,2.823128018038738e-11
